,user_id,signup_date,channel
0,1,2025-10-11,Paid Ad
1,2,2025-09-10,Paid Ad
2,3,2025-09-13,Paid Ad
3,4,2025-10-12,Paid Ad
4,5,2025-07-02,Paid Ad
5,6,2025-11-07,Organic
6,7,2025-08-27,Paid Ad
7,8,2025-08-18,Paid Ad
8,9,2025-07-15,Paid Ad
9,10,2025-08-20,Organic
10,11,2025-11-08,Referral
11,12,2025-09-11,Organic
12,13,2025-08-29,Paid Ad
13,14,2025-09-28,Organic
14,15,2025-10-19,Paid Ad
15,16,2025-07-08,Organic
16,17,2025-12-11,Organic
17,18,2025-11-11,Organic
18,19,2025-11-23,Paid Ad
19,20,2025-07-14,Paid Ad
20,21,2025-08-09,Referral
21,22,2025-10-19,Referral
22,23,2025-11-01,Organic
23,24,2025-08-14,Organic
24,25,2025-09-26,Organic
25,26,2025-09-01,Referral
26,27,2025-12-10,Paid Ad
27,28,2025-08-10,Referral
28,29,2025-07-12,Organic
29,30,2025-11-28,Paid Ad
30,31,2025-12-19,Paid Ad
31,32,2025-10-09,Referral
32,33,2025-07-05,Paid Ad
33,34,2025-10-11,Organic
34,35,2025-09-28,Organic
35,36,2025-09-01,Referral
36,37,2025-10-04,Paid Ad
37,38,2025-11-20,Paid Ad
38,39,2025-12-07,Paid Ad
39,40,2025-07-28,Referral
40,41,2025-11-11,Paid Ad
41,42,2025-09-22,Referral
42,43,2025-09-30,Organic
43,44,2025-11-06,Organic
44,45,2025-10-24,Organic
45,46,2025-12-02,Paid Ad
46,47,2025-08-20,Organic
47,48,2025-08-28,Organic
48,49,2025-12-27,Organic
49,50,2025-08-21,Organic
50,51,2025-11-08,Organic
51,52,2025-09-19,Organic
52,53,2025-08-23,Organic
53,54,2025-11-06,Organic
54,55,2025-12-19,Paid Ad
55,56,2025-09-06,Organic
56,57,2025-11-22,Paid Ad
57,58,2025-10-24,Referral
58,59,2025-11-21,Referral
59,60,2025-09-08,Paid Ad
60,61,2025-12-11,Organic
61,62,2025-11-24,Organic
62,63,2025-12-08,Organic
63,64,2025-10-12,Organic
64,65,2025-12-25,Referral
65,66,2025-10-07,Organic
66,67,2025-10-20,Paid Ad
67,68,2025-07-02,Referral
68,69,2025-08-06,Referral
69,70,2025-10-07,Paid Ad
70,71,2025-11-25,Referral
71,72,2025-11-29,Referral
72,73,2025-12-11,Referral
73,74,2025-10-20,Organic
74,75,2025-10-01,Organic
75,76,2025-08-23,Paid Ad
76,77,2025-12-08,Organic
77,78,2025-08-17,Paid Ad
78,79,2025-11-12,Paid Ad
79,80,2025-12-23,Organic
80,81,2025-10-27,Organic
81,82,2025-10-17,Paid Ad
82,83,2025-07-27,Paid Ad
83,84,2025-07-28,Paid Ad
84,85,2025-08-30,Paid Ad
85,86,2025-08-18,Organic
86,87,2025-12-05,Referral
87,88,2025-10-07,Paid Ad
88,89,2025-10-01,Paid Ad
89,90,2025-10-07,Referral
90,91,2025-12-07,Referral
91,92,2025-11-05,Organic
92,93,2025-08-23,Paid Ad
93,94,2025-07-24,Organic
94,95,2025-11-28,Organic
95,96,2025-11-07,Organic
96,97,2025-11-14,Paid Ad
97,98,2025-12-17,Referral
98,99,2025-11-30,Paid Ad
99,100,2025-11-12,Paid Ad
100,101,2025-09-03,Organic
101,102,2025-11-19,Referral
102,103,2025-09-30,Paid Ad
103,104,2025-09-24,Organic
104,105,2025-11-02,Referral
105,106,2025-08-18,Organic
106,107,2025-08-23,Paid Ad
107,108,2025-07-08,Paid Ad
108,109,2025-07-05,Paid Ad
109,110,2025-10-24,Paid Ad
110,111,2025-12-15,Paid Ad
111,112,2025-11-01,Paid Ad
112,113,2025-10-28,Organic
113,114,2025-09-28,Organic
114,115,2025-07-23,Paid Ad
115,116,2025-11-06,Organic
116,117,2025-08-03,Organic
117,118,2025-09-27,Paid Ad
118,119,2025-07-16,Paid Ad
119,120,2025-09-07,Paid Ad
120,121,2025-09-14,Paid Ad
121,122,2025-09-24,Organic
122,123,2025-09-07,Organic
123,124,2025-11-21,Organic
124,125,2025-08-08,Organic
125,126,2025-10-09,Organic
126,127,2025-09-07,Referral
127,128,2025-11-15,Paid Ad
128,129,2025-07-01,Paid Ad
129,130,2025-07-16,Organic
130,131,2025-11-05,Paid Ad
131,132,2025-11-17,Organic
132,133,2025-12-08,Referral
133,134,2025-07-12,Organic
134,135,2025-09-12,Organic
135,136,2025-07-12,Organic
136,137,2025-08-04,Organic
137,138,2025-10-01,Referral
138,139,2025-12-09,Organic
139,140,2025-08-27,Paid Ad
140,141,2025-12-04,Organic
141,142,2025-12-11,Organic
142,143,2025-12-24,Paid Ad
143,144,2025-10-04,Organic
144,145,2025-08-06,Organic
145,146,2025-07-23,Paid Ad
146,147,2025-07-17,Paid Ad
147,148,2025-09-24,Organic
148,149,2025-10-08,Organic
149,150,2025-09-14,Organic
150,151,2025-11-05,Paid Ad
151,152,2025-11-21,Paid Ad
152,153,2025-07-25,Paid Ad
153,154,2025-08-22,Paid Ad
154,155,2025-10-17,Referral
155,156,2025-11-19,Paid Ad
156,157,2025-09-13,Organic
157,158,2025-09-12,Referral
158,159,2025-07-07,Paid Ad
159,160,2025-11-14,Referral
160,161,2025-07-05,Paid Ad
161,162,2025-11-13,Organic
162,163,2025-11-22,Referral
163,164,2025-11-09,Organic
164,165,2025-07-19,Paid Ad
165,166,2025-09-29,Organic
166,167,2025-11-03,Paid Ad
167,168,2025-11-03,Organic
168,169,2025-08-30,Referral
169,170,2025-11-08,Paid Ad
170,171,2025-10-21,Organic
171,172,2025-10-25,Referral
172,173,2025-12-07,Paid Ad
173,174,2025-09-18,Paid Ad
174,175,2025-12-11,Paid Ad
175,176,2025-11-23,Organic
176,177,2025-11-20,Paid Ad
177,178,2025-10-26,Organic
178,179,2025-07-12,Referral
179,180,2025-10-10,Paid Ad
180,181,2025-07-08,Organic
181,182,2025-11-13,Organic
182,183,2025-10-09,Referral
183,184,2025-11-22,Organic
184,185,2025-12-04,Organic
185,186,2025-11-11,Referral
186,187,2025-08-16,Referral
187,188,2025-07-30,Referral
188,189,2025-10-27,Paid Ad
189,190,2025-11-23,Referral
190,191,2025-09-23,Paid Ad
191,192,2025-08-28,Referral
192,193,2025-10-06,Organic
193,194,2025-11-26,Organic
194,195,2025-10-03,Paid Ad
195,196,2025-07-23,Paid Ad
196,197,2025-09-21,Organic
197,198,2025-10-18,Organic
198,199,2025-07-04,Organic
199,200,2025-08-01,Organic
200,201,2025-08-08,Paid Ad
201,202,2025-10-26,Referral
202,203,2025-08-23,Referral
203,204,2025-08-26,Paid Ad
204,205,2025-11-28,Paid Ad
205,206,2025-09-04,Referral
206,207,2025-08-07,Paid Ad
207,208,2025-09-17,Paid Ad
208,209,2025-08-21,Paid Ad
209,210,2025-09-17,Organic
210,211,2025-08-20,Paid Ad
211,212,2025-11-15,Referral
212,213,2025-09-22,Paid Ad
213,214,2025-08-22,Organic
214,215,2025-08-12,Organic
215,216,2025-11-28,Organic
216,217,2025-10-26,Paid Ad
217,218,2025-11-09,Organic
218,219,2025-12-02,Paid Ad
219,220,2025-10-30,Organic
220,221,2025-09-30,Organic
221,222,2025-09-08,Organic
222,223,2025-09-28,Referral
223,224,2025-08-14,Organic
224,225,2025-08-16,Paid Ad
225,226,2025-10-02,Organic
226,227,2025-09-19,Organic
227,228,2025-10-21,Paid Ad
228,229,2025-08-16,Organic
229,230,2025-07-28,Organic
230,231,2025-10-17,Organic
231,232,2025-10-23,Paid Ad
232,233,2025-10-15,Paid Ad
233,234,2025-08-07,Paid Ad
234,235,2025-10-27,Organic
235,236,2025-07-17,Organic
236,237,2025-08-13,Organic
237,238,2025-07-25,Paid Ad
238,239,2025-10-17,Paid Ad
239,240,2025-08-03,Paid Ad
240,241,2025-09-21,Organic
241,242,2025-12-27,Paid Ad
242,243,2025-08-28,Referral
243,244,2025-08-02,Organic
244,245,2025-09-08,Organic
245,246,2025-09-13,Organic
246,247,2025-11-29,Referral
247,248,2025-07-31,Paid Ad
248,249,2025-07-06,Organic
249,250,2025-07-04,Organic
250,251,2025-10-02,Organic
251,252,2025-09-17,Paid Ad
252,253,2025-12-20,Paid Ad
253,254,2025-10-26,Paid Ad
254,255,2025-07-20,Organic
255,256,2025-09-28,Paid Ad
256,257,2025-11-03,Organic
257,258,2025-07-03,Organic
258,259,2025-07-10,Paid Ad
259,260,2025-11-07,Organic
260,261,2025-09-03,Organic
261,262,2025-07-09,Paid Ad
262,263,2025-12-10,Organic
263,264,2025-08-31,Paid Ad
264,265,2025-10-25,Paid Ad
265,266,2025-09-14,Organic
266,267,2025-09-02,Paid Ad
267,268,2025-09-10,Referral
268,269,2025-08-29,Organic
269,270,2025-07-05,Organic
270,271,2025-08-31,Organic
271,272,2025-09-27,Paid Ad
272,273,2025-10-12,Organic
273,274,2025-12-13,Paid Ad
274,275,2025-11-30,Organic
275,276,2025-08-22,Referral
276,277,2025-12-26,Paid Ad
277,278,2025-12-26,Organic
278,279,2025-07-15,Referral
279,280,2025-12-02,Paid Ad
280,281,2025-10-05,Paid Ad
281,282,2025-08-02,Organic
282,283,2025-07-10,Paid Ad
283,284,2025-10-26,Referral
284,285,2025-10-17,Organic
285,286,2025-12-04,Paid Ad
286,287,2025-09-06,Paid Ad
287,288,2025-10-03,Paid Ad
288,289,2025-07-26,Organic
289,290,2025-07-11,Referral
290,291,2025-11-11,Paid Ad
291,292,2025-08-15,Paid Ad
292,293,2025-10-12,Paid Ad
293,294,2025-10-19,Paid Ad
294,295,2025-10-08,Referral
295,296,2025-08-06,Paid Ad
296,297,2025-09-30,Organic
297,298,2025-08-20,Paid Ad
298,299,2025-07-11,Paid Ad
299,300,2025-11-26,Organic
300,301,2025-08-26,Organic
301,302,2025-10-23,Paid Ad
302,303,2025-08-22,Organic
303,304,2025-10-25,Paid Ad
304,305,2025-07-25,Referral
305,306,2025-11-12,Organic
306,307,2025-07-17,Paid Ad
307,308,2025-12-26,Organic
308,309,2025-12-27,Paid Ad
309,310,2025-12-24,Paid Ad
310,311,2025-12-01,Organic
311,312,2025-09-19,Referral
312,313,2025-10-26,Referral
313,314,2025-10-12,Paid Ad
314,315,2025-11-18,Organic
315,316,2025-08-31,Organic
316,317,2025-12-20,Organic
317,318,2025-07-19,Organic
318,319,2025-12-22,Paid Ad
319,320,2025-10-21,Paid Ad
320,321,2025-09-01,Organic
321,322,2025-08-24,Referral
322,323,2025-10-18,Paid Ad
323,324,2025-08-24,Organic
324,325,2025-10-01,Paid Ad
325,326,2025-09-05,Organic
326,327,2025-09-10,Organic
327,328,2025-09-05,Referral
328,329,2025-07-08,Organic
329,330,2025-09-16,Paid Ad
330,331,2025-11-21,Organic
331,332,2025-11-19,Organic
332,333,2025-07-07,Paid Ad
333,334,2025-09-23,Organic
334,335,2025-08-05,Paid Ad
335,336,2025-11-06,Referral
336,337,2025-11-07,Organic
337,338,2025-07-20,Paid Ad
338,339,2025-11-14,Paid Ad
339,340,2025-09-24,Paid Ad
340,341,2025-12-05,Paid Ad
341,342,2025-11-05,Organic
342,343,2025-07-14,Paid Ad
343,344,2025-07-25,Organic
344,345,2025-07-04,Organic
345,346,2025-10-06,Organic
346,347,2025-11-23,Paid Ad
347,348,2025-08-10,Organic
348,349,2025-11-30,Paid Ad
349,350,2025-10-25,Organic
350,351,2025-08-26,Organic
351,352,2025-10-06,Paid Ad
352,353,2025-11-15,Referral
353,354,2025-10-30,Paid Ad
354,355,2025-08-23,Paid Ad
355,356,2025-08-05,Paid Ad
356,357,2025-07-11,Organic
357,358,2025-10-21,Paid Ad
358,359,2025-08-23,Paid Ad
359,360,2025-11-27,Paid Ad
360,361,2025-08-05,Paid Ad
361,362,2025-09-19,Paid Ad
362,363,2025-12-01,Paid Ad
363,364,2025-08-09,Paid Ad
364,365,2025-12-18,Paid Ad
365,366,2025-08-04,Referral
366,367,2025-12-19,Referral
367,368,2025-07-12,Organic
368,369,2025-08-18,Organic
369,370,2025-08-24,Paid Ad
370,371,2025-09-18,Referral
371,372,2025-11-26,Paid Ad
372,373,2025-07-25,Referral
373,374,2025-08-28,Referral
374,375,2025-08-16,Organic
375,376,2025-11-22,Organic
376,377,2025-11-12,Organic
377,378,2025-11-14,Organic
378,379,2025-08-28,Referral
379,380,2025-10-24,Referral
380,381,2025-10-11,Organic
381,382,2025-10-16,Organic
382,383,2025-08-06,Paid Ad
383,384,2025-10-16,Paid Ad
384,385,2025-07-04,Paid Ad
385,386,2025-12-08,Referral
386,387,2025-11-03,Paid Ad
387,388,2025-08-03,Organic
388,389,2025-11-18,Organic
389,390,2025-10-31,Referral
390,391,2025-08-31,Paid Ad
391,392,2025-10-29,Paid Ad
392,393,2025-10-11,Paid Ad
393,394,2025-12-24,Organic
394,395,2025-12-05,Referral
395,396,2025-08-06,Organic
396,397,2025-09-11,Organic
397,398,2025-11-17,Referral
398,399,2025-12-18,Paid Ad
399,400,2025-09-01,Referral
400,401,2025-09-15,Referral
401,402,2025-07-04,Organic
402,403,2025-09-01,Organic
403,404,2025-10-18,Organic
404,405,2025-12-16,Organic
405,406,2025-07-06,Referral
406,407,2025-12-24,Paid Ad
407,408,2025-08-30,Organic
408,409,2025-09-20,Paid Ad
409,410,2025-12-07,Paid Ad
410,411,2025-11-02,Paid Ad
411,412,2025-11-19,Referral
412,413,2025-09-05,Organic
413,414,2025-11-30,Referral
414,415,2025-08-09,Referral
415,416,2025-11-01,Organic
416,417,2025-11-10,Organic
417,418,2025-08-06,Organic
418,419,2025-09-19,Organic
419,420,2025-08-31,Paid Ad
420,421,2025-08-25,Paid Ad
421,422,2025-08-02,Referral
422,423,2025-12-15,Organic
423,424,2025-08-17,Paid Ad
424,425,2025-09-27,Referral
425,426,2025-12-02,Paid Ad
426,427,2025-08-14,Referral
427,428,2025-07-23,Organic
428,429,2025-12-05,Referral
429,430,2025-07-02,Referral
430,431,2025-08-08,Organic
431,432,2025-12-02,Referral
432,433,2025-10-06,Paid Ad
433,434,2025-12-10,Organic
434,435,2025-09-12,Paid Ad
435,436,2025-12-03,Paid Ad
436,437,2025-07-22,Referral
437,438,2025-09-06,Organic
438,439,2025-11-27,Paid Ad
439,440,2025-07-22,Paid Ad
440,441,2025-08-19,Referral
441,442,2025-12-11,Paid Ad
442,443,2025-07-07,Organic
443,444,2025-10-19,Paid Ad
444,445,2025-08-27,Organic
445,446,2025-07-29,Referral
446,447,2025-08-08,Paid Ad
447,448,2025-09-13,Organic
448,449,2025-09-22,Paid Ad
449,450,2025-09-19,Referral
450,451,2025-07-21,Referral
451,452,2025-09-22,Organic
